Order_ID,Order_Date,Customer_ID,Customer_Name,Age,Gender,City,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Year,Order_Month,Product_Category,Order_Day,Total_Sales_Calc,Sales_Match,Age_Group
ORD100002,25-02-2025,CUST5529,Customer_227,30,Female,Bengaluru,Rice,Grocery,7,2829.77,19808.39,2025,2,Other,25,19808.39,TRUE,Young Adult
ORD100003,14-10-2025,CUST3127,Customer_182,63,Male,Bengaluru,Book,Education,5,27906.16,139530.8,2025,10,Other,14,139530.8,TRUE,Senior
ORD100004,13-05-2025,CUST8887,Customer_487,62,Female,Bengaluru,Book,Education,8,37491.06,299928.48,2025,5,Other,13,299928.48,TRUE,Senior
ORD100005,02-12-2025,CUST2515,Customer_470,65,Female,Kolkata,Mobile,Electronics,9,28541.36,256872.24,2025,12,Other,2,256872.24,TRUE,Senior
ORD100006,20-11-2025,CUST4796,Customer_380,44,Male,Bengaluru,Rice,Grocery,10,14036.59,140365.9,2025,11,Other,20,140365.9,TRUE,Adult
ORD100007,31-12-2025,CUST3952,Customer_71,40,Female,Hyderabad,Laptop,Electronics,9,35947.47,323527.23,2025,12,Other,31,323527.23,TRUE,Adult
ORD100008,14-10-2025,CUST1758,Customer_335,61,Male,Patna,Mobile,Electronics,6,49997.53,299985.18,2025,10,Other,14,299985.18,TRUE,Senior
ORD100009,05-12-2025,CUST9622,Customer_224,35,Male,Kolkata,Laptop,Electronics,3,9488.83,28466.49,2025,12,Other,5,28466.49,TRUE,Adult
ORD100010,21-11-2025,CUST9770,Customer_494,41,Female,Mumbai,Book,Education,6,19488.23,116929.38,2025,11,Other,21,116929.38,TRUE,Adult
ORD100011,16-04-2025,CUST1312,Customer_40,30,Male,Kolkata,Mobile,Electronics,8,18024.34,144194.72,2025,4,Other,16,144194.72,TRUE,Young Adult
ORD100012,05-05-2025,CUST9642,Customer_162,51,Male,Delhi,Shoes,Fashion,3,14151.42,42454.26,2025,5,Other,5,42454.26,TRUE,Middle Age
ORD100013,02-05-2025,CUST3228,Customer_209,55,Female,Patna,Chair,Furniture,6,47175.43,283052.58,2025,5,Other,2,283052.58,TRUE,Middle Age
ORD100014,06-05-2025,CUST1038,Customer_454,32,Male,Patna,Rice,Grocery,5,7413.68,37068.4,2025,5,Other,6,37068.4,TRUE,Adult
ORD100015,24-04-2025,CUST6413,Customer_490,50,Female,Patna,Shoes,Fashion,8,12042.52,96340.16,2025,4,Other,24,96340.16,TRUE,Middle Age
ORD100016,12-03-2025,CUST8660,Customer_213,42,Female,Patna,Mobile,Electronics,8,25465.31,203722.48,2025,3,Other,12,203722.48,TRUE,Adult
ORD100017,30-08-2025,CUST9307,Customer_313,36,Female,Delhi,Shoes,Fashion,10,20111.09,201110.9,2025,8,Other,30,201110.9,TRUE,Adult
ORD100018,30-11-2025,CUST4363,Customer_161,30,Female,Delhi,Book,Education,10,40109.12,401091.2,2025,11,Other,30,401091.2,TRUE,Young Adult
ORD100019,19-10-2025,CUST3508,Customer_67,31,Male,Gaya,Shoes,Fashion,1,7280.64,7280.64,2025,10,Other,19,7280.64,TRUE,Adult
ORD100020,24-07-2025,CUST5806,Customer_103,57,Female,Mumbai,Chair,Furniture,5,6122.59,30612.95,2025,7,Other,24,30612.95,TRUE,Middle Age
ORD100021,20-03-2025,CUST6504,Customer_357,34,Male,Kolkata,Laptop,Electronics,8,23770.36,190162.88,2025,3,Other,20,190162.88,TRUE,Adult
ORD100022,18-03-2025,CUST8908,Customer_190,65,Male,Pune,Shoes,Fashion,1,2344.98,2344.98,2025,3,Other,18,2344.98,TRUE,Senior
ORD100023,04-10-2025,CUST2903,Customer_122,31,Female,Mumbai,Book,Education,7,15396.37,107774.59,2025,10,Other,4,107774.59,TRUE,Adult
ORD100024,23-11-2025,CUST1406,Customer_499,52,Male,Gaya,Shoes,Fashion,10,31576.5,315765,2025,11,Other,23,315765,TRUE,Middle Age
ORD100025,14-09-2025,CUST8036,Customer_173,44,Male,Patna,Laptop,Electronics,2,11127.06,22254.12,2025,9,Other,14,22254.12,TRUE,Adult
ORD100026,16-03-2025,CUST6532,Customer_348,30,Male,Pune,Rice,Grocery,7,36069.86,252489.02,2025,3,Other,16,252489.02,TRUE,Young Adult
ORD100027,10-04-2025,CUST2482,Customer_183,65,Male,Mumbai,Book,Education,9,39414.46,354730.14,2025,4,Other,10,354730.14,TRUE,Senior
